N_ch N_D N_Ds N_K
1 0 0 0
1 0 0 0
0 0 0 0
1 0 0 0
4 0 0 0
1 0 0 0
14 0 0 0
9 0 0 1
5 0 0 0
8 0 0 0
3 0 0 1
3 0 0 0
4 0 0 0
2 0 0 0
6 0 0 0
4 0 0 0
6 0 0 1
0 0 0 0
10 0 0 0
7 0 0 0
4 0 0 0
4 0 0 0
14 0 0 4
4 0 0 1
2 0 0 1
3 0 0 2
3 0 0 0
12 0 0 2
3 0 0 0
5 0 0 0
4 0 0 0
4 0 0 1
2 0 0 1
11 0 0 1
6 0 0 0
3 0 0 0
2 0 0 0
3 0 0 1
5 0 0 0
6 0 0 0
3 0 0 0
4 0 0 0
7 0 0 1
6 0 0 1
2 0 0 1
8 0 0 0
10 0 0 1
5 0 0 0
0 0 0 0
3 0 0 0
4 0 0 1
5 0 0 0
2 0 0 0
5 0 0 0
2 0 0 0
5 0 0 0
17 0 0 1
2 0 0 0
6 0 0 1
8 0 0 0
8 0 0 0
1 0 0 0
9 0 0 1
0 0 0 0
3 0 0 0
3 0 0 0
3 0 0 0
5 0 0 0
6 0 0 0
5 0 0 0
3 0 0 1
11 0 0 1
8 0 0 0
5 0 0 0
2 0 0 0
4 0 0 1
6 0 0 0
4 0 0 0
2 0 0 1
6 0 0 0
7 0 0 0
5 0 0 1
4 0 0 0
5 0 0 0
1 0 0 0
2 0 0 0
2 0 0 0
8 0 0 2
7 0 0 0
14 0 0 1
1 0 0 0
2 0 0 0
5 0 0 0
5 0 0 1
5 0 0 1
10 0 0 2
26 0 0 2
8 0 0 0
5 0 0 0
4 0 0 1
4 0 0 0
6 0 0 1
2 0 0 1
5 0 0 0
8 0 0 3
18 0 0 4
6 0 0 0
2 0 0 0
1 0 0 0
5 0 0 0
2 0 0 0
2 0 0 0
3 0 0 0
3 0 0 0
4 0 0 0
9 0 0 0
22 0 0 0
5 0 0 1
7 0 0 0
5 0 0 0
4 0 0 0
12 0 0 1
2 0 0 0
2 0 0 0
7 0 0 1
4 0 0 0
17 0 0 0
3 0 0 0
7 0 0 0
12 0 0 0
8 0 0 1
1 0 0 1
8 0 0 0
4 0 0 1
8 0 0 0
0 0 0 0
1 0 0 0
6 0 0 0
5 0 0 0
2 0 0 0
11 0 0 1
6 0 0 0
6 0 0 0
5 0 0 0
5 0 0 2
1 0 0 0
2 0 0 0
2 0 0 1
1 0 0 0
4 0 0 0
4 0 0 0
2 0 0 0
6 0 0 0
5 0 0 0
2 0 0 0
6 0 0 0
1 0 0 0
9 0 0 1
14 0 0 1
11 0 0 1
2 0 0 1
4 0 0 1
2 0 0 0
11 0 0 0
3 0 0 1
5 0 0 1
5 0 0 1
7 0 0 1
9 0 0 0
2 0 0 0
6 0 0 0
9 0 0 1
6 0 0 0
3 0 0 0
2 0 0 0
4 0 0 0
3 0 0 0
11 0 0 0
2 0 0 0
13 0 0 0
5 0 0 0
10 0 0 3
6 0 0 0
5 0 0 0
4 0 0 3
7 0 0 0
35 0 0 4
38 0 0 3
4 0 0 0
6 0 0 0
6 0 0 0
5 0 0 0
13 0 0 1
7 0 0 1
6 0 0 1
6 0 0 1
7 0 0 0
2 0 0 0
7 0 0 0
6 0 0 1
4 0 0 0
7 0 0 0
2 0 0 0
3 0 0 0
7 0 0 0
13 0 0 2
4 0 0 1
8 0 0 0
0 0 0 0
3 0 0 1
6 0 0 0
3 0 0 0
4 0 0 1
8 0 0 1
4 0 0 2
1 0 0 0
7 0 0 2
2 0 0 0
5 0 0 0
1 0 0 0
1 0 0 0
13 0 0 1
5 0 0 0
10 0 0 0
5 0 0 0
4 0 0 0
1 0 0 0
7 0 0 3
9 0 0 1
6 0 0 0
13 0 0 2
9 0 0 0
4 0 0 0
5 0 0 1
8 0 0 0
7 0 0 0
21 0 0 1
5 0 0 1
5 0 0 0
4 0 0 1
3 0 0 0
18 0 0 1
0 0 0 0
8 0 0 1
2 0 0 0
5 0 0 0
5 0 0 0
7 0 0 1
9 0 0 0
1 0 0 0
3 0 0 0
8 0 0 0
10 0 0 2
3 0 0 0
3 0 0 1
5 0 0 0
3 0 0 1
8 0 0 0
4 0 0 0
5 0 0 1
3 0 0 0
10 0 0 0
6 0 0 0
4 0 0 1
8 0 0 1
3 0 0 0
3 0 0 0
4 0 0 0
4 0 0 0
10 0 0 0
6 0 0 0
6 0 0 0
3 0 0 0
2 0 0 0
4 0 0 0
4 0 0 0
4 0 0 0
2 0 0 0
8 0 0 2
22 0 0 1
2 0 0 0
8 0 0 0
3 0 0 1
3 0 0 0
5 0 0 0
12 0 0 0
0 0 0 0
6 0 0 0
7 0 0 0
6 0 0 0
2 0 0 0
2 0 0 0
35 0 0 4
6 0 0 0
5 0 0 0
4 0 0 0
5 0 0 0
3 0 0 0
5 0 0 0
3 0 0 0
4 0 0 0
4 0 0 0
6 0 0 1
6 0 0 0
3 0 0 0
1 0 0 0
3 0 0 0
7 0 0 2
6 0 0 1
16 0 0 1
5 0 0 0
7 0 0 0
4 0 0 0
8 0 0 0
3 0 0 0
1 0 0 0
7 0 0 1
7 0 0 0
4 0 0 1
10 0 0 1
18 0 0 0
3 0 0 0
3 0 0 0
4 0 0 0
6 0 0 1
8 0 0 0
3 0 0 0
5 0 0 0
5 0 0 0
4 0 0 0
2 0 0 0
8 0 0 1
3 0 0 0
6 0 0 1
3 0 0 0
2 0 0 0
3 0 0 0
7 0 0 2
8 0 0 0
4 0 0 1
3 0 0 0
1 0 0 0
1 0 0 0
2 0 0 0
4 0 0 0
5 0 0 0
18 0 0 1
18 0 0 2
15 0 0 0
6 0 0 0
4 0 0 1
6 0 0 1
13 0 0 1
2 0 0 0
5 0 0 0
6 0 0 0
2 0 0 0
2 0 0 0
4 0 0 1
3 0 0 1
9 0 0 0
9 0 0 1
4 0 0 0
4 0 0 2
2 0 0 0
26 0 0 2
6 0 0 0
1 0 0 1
12 0 0 1
2 0 0 0
3 0 0 0
3 0 0 1
3 0 0 0
6 0 0 0
16 0 0 2
6 0 0 2
5 0 0 2
5 0 0 0
5 0 0 0
22 0 0 2
5 0 0 0
8 0 0 0
2 0 0 0
6 0 0 0
3 0 0 0
3 0 0 0
1 0 0 1
5 0 0 1
19 0 0 4
3 0 0 0
8 0 0 0
3 0 0 0
4 0 0 1
8 0 0 0
4 0 0 0
11 0 0 1
0 0 0 0
0 0 0 0
13 0 0 2
6 0 0 2
4 0 0 1
4 0 0 0
4 0 0 0
4 0 0 0
22 0 0 0
2 0 0 0
4 0 0 0
7 0 0 0
9 0 0 0
9 0 0 0
5 0 0 0
1 0 0 0
6 0 0 0
3 0 0 1
7 0 0 1
6 0 0 0
3 0 0 0
6 0 0 0
3 0 0 0
4 0 0 0
6 0 0 0
6 0 0 0
5 0 0 0
4 0 0 3
11 0 0 2
4 0 0 0
7 0 0 0
2 0 0 1
1 0 0 0
12 0 0 0
5 0 0 0
6 0 0 0
16 0 0 0
5 0 0 0
4 0 0 0
6 0 0 0
26 0 0 1
2 0 0 0
6 0 0 0
2 0 0 1
4 0 0 0
17 0 0 2
3 0 0 0
9 0 0 2
2 0 0 0
9 0 0 0
5 0 0 0
4 0 0 0
4 0 0 0
2 0 0 0
2 0 0 1
2 0 0 0
3 0 0 0
2 0 0 0
3 0 0 0
6 0 0 0
7 0 0 1
2 0 0 0
5 0 0 0
4 0 0 0
19 0 0 1
5 0 0 0
8 0 0 0
3 0 0 1
28 0 0 1
9 0 0 1
6 0 0 0
1 0 0 0
2 0 0 0
2 0 0 0
7 0 0 0
13 0 0 0
6 0 0 0
8 0 0 2
1 0 0 0
9 0 0 3
11 0 0 1
4 0 0 0
9 0 0 0
5 0 0 0
4 0 0 0
0 0 0 0
5 0 0 0
7 0 0 0
1 0 0 0
7 0 0 0
4 0 0 1
4 0 0 0
2 0 0 1
4 0 0 0
9 0 0 1
5 0 0 1
1 0 0 0
3 0 0 0
0 0 0 0
1 0 0 0
3 0 0 0
6 0 0 0
2 0 0 0
10 0 0 1
7 0 0 1
7 0 0 0
10 0 0 1
5 0 0 0
3 0 0 0
3 0 0 0
3 0 0 1
4 0 0 0
3 0 0 0
3 0 0 0
1 0 0 0
1 0 0 0
4 0 0 0
6 0 0 0
4 0 0 2
1 0 0 0
3 0 0 0
1 0 0 0
3 0 0 0
1 0 0 0
3 0 0 0
2 0 0 1
2 0 0 1
3 0 0 0
6 0 0 0
7 0 0 1
11 0 0 0
3 0 0 0
4 0 0 1
4 0 0 2
5 0 0 0
4 0 0 0
12 0 0 0
2 0 0 0
4 0 0 1
5 0 0 0
4 0 0 0
2 0 0 0
3 0 0 0
0 0 0 0
4 0 0 1
2 0 0 0
11 0 0 0
12 0 0 2
0 0 0 0
7 0 0 2
6 0 0 0
4 0 0 0
28 0 0 4
5 0 0 0
4 0 0 0
4 0 0 0
4 0 0 2
6 0 0 1
4 0 0 0
10 0 0 0
5 0 0 0
14 0 0 0
7 0 0 0
3 0 0 0
7 0 0 1
8 0 0 1
12 0 0 1
5 0 0 0
6 0 0 0
3 0 0 0
15 0 0 1
1 0 0 0
3 0 0 0
6 0 0 0
2 0 0 1
3 0 0 0
2 0 0 0
3 0 0 0
5 0 0 0
4 0 0 0
1 0 0 0
2 0 0 0
6 0 0 0
6 0 0 0
2 0 0 0
12 0 0 1
4 0 0 0
7 0 0 0
25 0 0 3
3 0 0 1
1 0 0 0
31 0 0 2
7 0 0 0
2 0 0 0
2 0 0 0
11 0 0 0
6 0 0 0
4 0 0 0
9 0 0 1
4 0 0 0
3 0 0 1
5 0 0 0
7 0 0 0
2 0 0 1
5 0 0 0
3 0 0 0
2 0 0 0
3 0 0 0
10 0 0 1
1 0 0 0
6 0 0 2
4 0 0 1
0 0 0 0
26 0 0 4
3 0 0 0
5 0 0 0
2 0 0 0
3 0 0 1
4 0 0 1
2 0 0 0
5 0 0 1
7 0 0 0
7 0 0 0
5 0 0 0
6 0 0 1
11 0 0 2
7 0 0 0
3 0 0 0
3 0 0 0
27 0 0 2
2 0 0 0
4 0 0 0
5 0 0 0
14 0 0 0
2 0 0 0
4 0 0 0
1 0 0 0
12 0 0 0
8 0 0 0
1 0 0 0
9 0 0 1
2 0 0 0
13 0 0 0
6 0 0 1
2 0 0 0
5 0 0 0
7 0 0 0
3 0 0 0
3 0 0 0
7 0 0 0
3 0 0 0
10 0 0 0
1 0 0 0
6 0 0 0
4 0 0 0
7 0 0 0
3 0 0 0
3 0 0 0
6 0 0 0
7 0 0 0
7 0 0 1
7 0 0 0
1 0 0 0
4 0 0 0
8 0 0 1
6 0 0 0
27 0 0 2
2 0 0 0
4 0 0 0
5 0 0 0
1 0 0 0
16 0 0 1
11 0 0 1
1 0 0 0
8 0 0 2
4 0 0 0
3 0 0 0
5 0 0 1
7 0 0 0
12 0 0 2
7 0 0 0
2 0 0 0
2 0 0 0
13 0 0 0
8 0 0 1
6 0 0 3
6 0 0 0
3 0 0 0
6 0 0 0
5 0 0 0
3 0 0 1
3 0 0 0
4 0 0 0
3 0 0 0
10 0 0 1
4 0 0 1
6 0 0 0
1 0 0 0
6 0 0 0
11 0 0 1
1 0 0 0
6 0 0 2
5 0 0 1
1 0 0 0
5 0 0 0
9 0 0 0
6 0 0 0
5 0 0 0
2 0 0 0
4 0 0 0
4 0 0 2
4 0 0 0
6 0 0 0
3 0 0 1
6 0 0 1
6 0 0 0
2 0 0 0
3 0 0 0
2 0 0 0
7 0 0 0
4 0 0 0
9 0 0 0
6 0 0 0
5 0 0 0
5 0 0 1
4 0 0 0
4 0 0 0
4 0 0 0
5 0 0 0
6 0 0 1
4 0 0 1
8 0 0 2
6 0 0 0
4 0 0 0
3 0 0 0
8 0 0 0
4 0 0 0
3 0 0 0
8 0 0 0
1 0 0 0
6 0 0 0
4 0 0 0
7 0 0 2
4 0 0 0
7 0 0 0
12 0 0 0
7 0 0 0
7 0 0 0
2 0 0 0
7 0 0 0
3 0 0 0
6 0 0 0
7 0 0 0
1 0 0 0
9 0 0 0
3 0 0 0
5 0 0 1
4 0 0 0
7 0 0 0
4 0 0 1
3 0 0 1
3 0 0 0
2 0 0 0
5 0 0 1
7 0 0 0
6 0 0 1
5 0 0 0
7 0 0 1
9 0 0 0
0 0 0 0
6 0 0 1
2 0 0 0
4 0 0 2
6 0 0 1
6 0 0 2
3 0 0 0
1 0 0 0
2 0 0 0
0 0 0 0
10 0 0 0
0 0 0 0
7 0 0 0
4 0 0 0
10 0 0 2
2 0 0 1
8 0 0 0
2 0 0 0
3 0 0 1
3 0 0 1
4 0 0 0
3 0 0 0
8 0 0 0
1 0 0 0
5 0 0 0
5 0 0 0
4 0 0 1
5 0 0 0
5 0 0 0
4 0 0 0
65 0 0 6
3 0 0 0
5 0 0 0
5 0 0 0
10 0 0 0
6 0 0 0
7 0 0 2
6 0 0 0
32 0 0 2
1 0 0 0
9 0 0 0
7 0 0 1
10 0 0 0
2 0 0 0
5 0 0 0
5 0 0 0
4 0 0 1
24 0 0 0
17 0 0 0
2 0 0 0
1 0 0 0
2 0 0 0
11 0 0 0
3 0 0 0
6 0 0 1
6 0 0 1
42 1 0 1
2 0 0 0
4 0 0 0
6 0 0 0
4 0 0 0
7 0 0 0
7 0 0 1
7 0 0 1
3 0 0 0
12 0 0 1
7 0 0 0
5 0 0 0
3 0 0 0
16 0 0 0
4 0 0 0
0 0 0 0
4 0 0 0
1 0 0 0
3 0 0 0
7 0 0 3
3 0 0 1
3 0 0 0
6 0 0 2
3 0 0 0
2 0 0 0
4 0 0 0
0 0 0 0
3 0 0 0
6 0 0 1
5 0 0 0
7 0 0 1
2 0 0 1
4 0 0 0
21 0 0 4
12 0 0 1
2 0 0 0
5 0 0 0
4 0 0 0
4 0 0 0
6 0 0 2
6 0 0 1
6 0 0 0
6 0 0 0
3 0 0 0
8 0 0 0
7 0 0 2
4 0 0 0
5 0 0 0
2 0 0 1
3 0 0 1
3 0 0 0
2 0 0 0
5 0 0 1
5 0 0 0
7 0 0 0
7 0 0 0
16 0 0 1
3 0 0 1
2 0 0 0
6 0 0 2
4 0 0 0
4 0 0 0
4 0 0 0
9 0 0 0
3 0 0 1
6 0 0 0
1 0 0 0
2 0 0 0
5 0 0 0
12 0 0 0
1 0 0 0
1 0 0 0
4 0 0 0
8 0 0 1
4 0 0 0
2 0 0 0
2 0 0 0
6 0 0 0
7 0 0 1
5 0 0 0
4 0 0 0
2 0 0 0
8 0 0 1
10 0 0 1
4 0 0 0
5 0 0 1
7 0 0 0
3 0 0 0
18 0 0 2
12 0 0 2
2 0 0 0
2 0 0 0
15 0 0 0
3 0 0 1
0 0 0 0
4 0 0 0
6 0 0 0
3 0 0 0
5 0 0 0
4 0 0 1
5 0 0 0
3 0 0 0
6 0 0 0
3 0 0 0
6 0 0 0
15 0 0 0
4 0 0 1
4 0 0 0
9 0 0 1
4 0 0 0
4 0 0 0
2 0 0 0
17 0 0 0
6 0 0 1
2 0 0 0
8 0 0 2
4 0 0 0
0 0 0 0
6 0 0 1
2 0 0 0
2 0 0 0
6 0 0 0
49 0 0 4
4 0 0 0
3 0 0 0
4 0 0 0
10 0 0 1
2 0 0 0
3 0 0 0
4 0 0 0
2 0 0 0
4 0 0 0
5 0 0 2
7 0 0 1
4 0 0 0
4 0 0 0
1 0 0 0
6 0 0 0
20 0 0 2
25 0 0 3
6 0 0 0
2 0 0 0
9 0 0 1
4 0 0 1
14 0 0 4
2 0 0 1
0 0 0 0
2 0 0 0
5 0 0 0
4 0 0 2
4 0 0 2
4 0 0 0
4 0 0 0
10 0 0 0
7 0 0 0
8 0 0 0
13 0 0 1
1 0 0 0
9 0 0 1
14 0 0 2
47 0 0 4
6 0 0 0
3 0 0 0
3 0 0 0
7 0 0 0
4 0 0 0
11 0 0 0
3 0 0 1
43 0 0 5
4 0 0 0
6 0 0 0
7 0 0 1
8 0 0 1
5 0 0 2
11 0 0 0
3 0 0 0
2 0 0 1
6 0 0 0
5 0 0 0
4 0 0 0
8 0 0 0
9 0 0 0
5 0 0 0
1 0 0 0
5 0 0 0
3 0 0 0
6 0 0 0
4 0 0 1
4 0 0 0
6 0 0 0
7 0 0 0
7 0 0 0
6 0 0 1
7 0 0 0
5 0 0 0
8 0 0 1
7 0 0 0
4 0 0 0
1 0 0 0
5 0 0 0
5 0 0 0
7 0 0 0
13 0 0 1
2 0 0 1
7 0 0 1
6 0 0 1
9 0 0 1
6 0 0 1
15 0 0 0
5 0 0 0
7 0 0 0
0 0 0 0
4 0 0 0
5 0 0 0
5 0 0 1
8 0 0 0
12 0 0 2
1 0 0 0
4 0 0 0
7 0 0 0
1 0 0 0
3 0 0 0
11 0 0 3
15 0 0 2
1 0 0 0
2 0 0 0
5 0 0 0
2 0 0 1
5 0 0 0
6 0 0 0
3 0 0 0
5 0 0 0
3 0 0 0
13 0 0 0
15 0 0 0
4 0 0 0
2 0 0 0
8 0 0 0
12 0 0 1
12 0 0 2
9 0 0 1
11 0 0 1
7 0 0 3
6 0 0 1
2 0 0 0
4 0 0 0
2 0 0 1
11 0 0 0
2 0 0 0
5 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
6 0 0 0
2 0 0 0
11 0 0 0
0 0 0 0
3 0 0 0
9 0 0 2
2 0 0 0
5 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
1 0 0 0
5 0 0 0
1 0 0 0
5 0 0 1
4 0 0 0
6 0 0 1
1 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
5 0 0 0
2 0 0 0
3 0 0 0
7 0 0 0
4 0 0 0
2 0 0 0
7 0 0 0
6 0 0 0
6 0 0 1
9 0 0 0
2 0 0 0
18 0 0 1
3 0 0 0
6 0 0 0
3 0 0 0
3 0 0 1
6 0 0 2
4 0 0 1
19 0 0 3
8 0 0 0
3 0 0 0
5 0 0 0
1 0 0 0
5 0 0 0
5 0 0 0
5 0 0 1
3 0 0 0
1 0 0 1
2 0 0 0
10 0 0 2
2 0 0 0
4 0 0 0
2 0 0 0
6 0 0 1
5 0 0 0
4 0 0 1
7 0 0 1
8 0 0 1
19 0 0 2
4 0 0 0
5 0 0 0
2 0 0 0
6 0 0 1
12 0 0 0
4 0 0 0
4 0 0 0
7 0 0 0
4 0 0 1
2 0 0 0
5 0 0 2
15 0 0 1
6 0 0 1
6 0 0 1
5 0 0 0
3 0 0 0
6 0 0 1
2 0 0 0
9 0 0 0
3 0 0 1
6 0 0 0
5 0 0 0
2 0 0 0
3 0 0 0
6 0 0 0
4 0 0 0
8 0 0 0
3 0 0 0
2 0 0 0
1 0 0 0
9 0 0 0
7 0 0 0
29 0 0 0
5 0 0 1
4 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
2 0 0 1
2 0 0 0
3 0 0 1
3 0 0 0
4 0 0 1
10 0 0 0
6 0 0 0
2 0 0 0
3 0 0 0
2 0 0 0
6 0 0 0
2 0 0 0
2 0 0 1
3 0 0 0
3 0 0 0
1 0 0 1
2 0 0 0
6 0 0 0
5 0 0 0
4 0 0 1
2 0 0 0
45 0 0 8
3 0 0 0
2 0 0 0
7 0 0 0
1 0 0 0
5 0 0 0
5 0 0 0
3 0 0 0
2 0 0 0
7 0 0 2
13 0 0 2
1 0 0 0
8 0 0 4
3 0 0 0
1 0 0 0
5 0 0 1
3 0 0 0
5 0 0 1
6 0 0 0
3 0 0 0
24 0 0 1
7 0 0 0
5 0 0 0
4 0 0 0
5 0 0 0
3 0 0 0
2 0 0 0
6 0 0 1
7 0 0 1
6 0 0 0
10 1 0 1
3 0 0 0
4 0 0 1
5 0 0 1
1 0 0 0
3 0 0 0
10 0 0 1
9 0 0 0
3 0 0 0
37 0 0 10
3 0 0 0
4 0 0 0
4 0 0 0
6 0 0 0
6 0 0 0
5 0 0 0
5 0 0 0
6 0 0 1
4 0 0 0
4 0 0 0
5 0 0 1
6 0 0 2
7 0 0 0
6 0 0 3
10 0 0 1
7 0 0 0
2 0 0 1
4 0 0 0
4 0 0 0
6 0 0 0
3 0 0 0
6 0 0 1
5 0 0 0
41 0 0 3
5 0 0 1
7 0 0 0
2 0 0 0
4 0 0 1
6 0 0 2
4 0 0 0
3 0 0 0
3 0 0 0
0 0 0 0
3 0 0 0
2 0 0 0
8 0 0 0
6 0 0 0
5 0 0 1
1 0 0 0
2 0 0 0
5 0 0 1
3 0 0 0
4 0 0 0
4 0 0 0
2 0 0 0
4 0 0 1
5 0 0 0
4 0 0 0
0 0 0 0
17 0 0 0
6 0 0 1
4 0 0 0
4 0 0 0
4 0 0 0
4 0 0 0
4 0 0 0
3 0 0 1
8 0 0 0
10 0 0 0
5 0 0 0
10 0 0 0
1 0 0 0
41 0 0 3
4 0 0 0
5 0 0 1
6 0 0 2
4 0 0 1
4 0 0 0
4 0 0 0
4 0 0 0
7 0 0 0
4 0 0 1
8 0 0 0
6 0 0 0
6 0 0 0
8 0 0 2
6 0 0 0
1 0 0 0
5 0 0 0
5 0 0 2
15 0 0 2
2 0 0 0
13 0 0 0
1 0 0 1
4 0 0 0
0 0 0 0
5 0 0 0
12 0 0 1
2 0 0 0
12 0 0 2
5 0 0 0
3 0 0 0
8 0 0 1
14 0 0 0
9 0 0 2
21 0 0 0
2 0 0 0
12 0 0 3
3 0 0 0
6 0 0 0
4 0 0 0
0 0 0 0
5 0 0 0
2 0 0 0
5 0 0 0
21 0 0 1
4 0 0 0
1 0 0 0
3 0 0 0
1 0 0 0
3 0 0 0
2 0 0 0
3 0 0 1
8 0 0 2
5 0 0 0
20 0 0 2
11 0 0 0
30 0 0 5
18 0 0 2
2 0 0 0
6 0 0 0
5 0 0 0
5 0 0 0
5 0 0 0
6 0 0 1
3 0 0 0
9 0 0 0
11 0 0 0
3 0 0 0
5 0 0 0
8 0 0 0
18 0 0 1
3 0 0 0
7 0 0 0
4 0 0 0
12 0 0 0
5 0 0 1
5 0 0 0
7 0 0 2
10 0 0 2
3 0 0 0
11 0 0 0
3 0 0 0
3 0 0 0
7 0 0 1
32 0 0 2
4 0 0 0
4 0 0 1
5 0 0 0
3 0 0 0
6 0 0 2
4 0 0 0
8 0 0 3
4 0 0 1
19 0 0 1
6 0 0 0
5 0 0 0
8 0 0 0
12 0 0 0
2 0 0 0
3 0 0 0
25 0 0 2
3 0 0 0
3 0 0 2
5 0 0 1
4 0 0 1
5 0 0 0
21 0 0 1
1 0 0 0
2 0 0 1
31 0 0 3
3 0 0 0
12 0 0 1
4 0 0 0
2 0 0 0
5 0 0 1
4 0 0 1
8 0 0 0
1 0 0 0
6 0 0 0
5 0 0 0
6 0 0 0
14 0 0 2
17 0 0 0
12 0 0 0
3 0 0 1
2 0 0 0
2 0 0 0
3 0 0 0
5 0 0 1
5 0 0 0
3 0 0 1
5 0 0 0
4 0 0 0
5 0 0 0
2 0 0 1
9 0 0 1
3 0 0 0
4 0 0 1
6 0 0 1
4 0 0 1
9 0 0 2
3 0 0 0
11 0 0 0
3 0 0 0
3 0 0 0
8 0 0 0
9 0 0 1
10 0 0 0
4 0 0 1
6 0 0 0
2 0 0 0
2 0 0 0
2 0 0 0
9 0 0 1
11 0 0 1
1 0 0 0
13 0 0 0
2 0 0 0
6 0 0 0
1 0 0 0
7 0 0 0
6 0 0 0
3 0 0 0
22 0 0 0
5 0 0 1
6 0 0 1
8 0 0 0
11 0 0 0
4 0 0 1
4 0 0 0
9 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
1 0 0 0
5 0 0 0
8 0 0 0
4 0 0 0
7 0 0 1
2 0 0 0
11 0 0 1
1 0 0 0
4 0 0 0
11 0 0 0
12 0 0 2
11 0 0 2
4 0 0 0
3 0 0 1
4 0 0 0
4 0 0 0
3 0 0 0
4 0 0 0
1 0 0 0
3 0 0 0
4 0 0 1
5 0 0 0
0 0 0 0
6 0 0 0
8 0 0 1
18 0 0 0
2 0 0 0
8 0 0 0
1 0 0 0
6 0 0 2
6 0 0 0
6 0 0 0
3 0 0 1
11 0 0 0
6 0 0 0
7 0 0 1
7 0 0 4
6 0 0 0
3 0 0 0
5 0 0 1
7 0 0 0
65 0 0 6
10 0 0 1
7 0 0 1
4 0 0 0
7 0 0 1
4 0 0 0
4 0 0 0
2 0 0 0
3 0 0 0
5 0 0 0
28 0 0 5
5 0 0 2
3 0 0 0
3 0 0 0
2 0 0 0
13 0 0 0
35 0 0 2
4 0 0 0
2 0 0 1
2 0 0 1
8 0 0 0
3 0 0 0
3 0 0 0
10 0 0 1
6 0 0 0
7 0 0 1
7 0 0 1
5 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
8 0 0 0
4 0 0 1
3 0 0 0
4 0 0 0
7 0 0 2
2 0 0 0
20 0 0 2
9 0 0 1
1 0 0 0
8 0 0 0
7 0 0 0
4 0 0 0
6 0 0 0
5 0 0 0
3 0 0 0
1 0 0 0
6 0 0 0
3 0 0 1
6 0 0 0
3 0 0 0
5 0 0 0
10 0 0 0
4 0 0 0
7 0 0 1
28 0 0 3
2 0 0 0
1 0 0 0
3 0 0 1
3 0 0 0
9 0 0 1
1 0 0 0
8 0 0 0
4 0 0 1
2 0 0 0
7 0 0 1
4 0 0 1
5 0 0 0
6 0 0 0
4 0 0 0
1 0 0 0
10 0 0 1
8 0 0 0
9 0 0 0
8 0 0 0
4 0 0 0
2 0 0 0
10 0 0 4
9 0 0 0
5 0 0 0
15 0 0 0
3 0 0 0
7 0 0 1
1 0 0 1
3 0 0 0
5 0 0 0
2 0 0 0
6 0 0 1
2 0 0 0
7 0 0 3
2 0 0 0
11 0 0 0
7 0 0 1
5 0 0 0
44 0 0 3
5 0 0 0
0 0 0 0
2 0 0 0
4 0 0 0
37 1 0 3
5 0 0 0
5 0 0 0
4 0 0 0
6 0 0 0
9 0 0 0
6 0 0 1
4 0 0 0
2 0 0 0
2 0 0 0
12 0 0 3
2 0 0 1
5 0 0 0
14 0 0 1
6 0 0 1
11 0 0 1
5 0 0 0
8 0 0 1
15 0 0 1
3 0 0 0
6 0 0 0
3 0 0 0
4 0 0 1
29 0 0 0
4 0 0 0
3 0 0 1
5 0 0 1
2 0 0 1
5 0 0 0
1 0 0 0
1 0 0 0
12 0 0 0
4 0 0 0
1 0 0 0
8 0 0 0
6 0 0 1
2 0 0 0
3 0 0 0
1 0 0 1
7 0 0 0
21 0 0 1
2 0 0 0
7 0 0 0
1 0 0 0
8 0 0 0
1 0 0 0
5 0 0 0
8 0 0 0
7 0 0 1
3 0 0 0
3 0 0 0
5 0 0 0
4 0 0 0
1 0 0 0
2 0 0 0
7 0 0 0
3 0 0 1
10 0 0 1
4 0 0 0
9 0 0 0
7 0 0 0
6 0 0 0
4 0 0 0
9 0 0 0
7 0 0 0
16 0 0 2
6 0 0 0
4 0 0 0
4 0 0 0
2 0 0 1
4 0 0 0
6 0 0 0
6 0 0 0
4 0 0 0
2 0 0 0
4 0 0 1
3 0 0 1
13 0 0 0
6 0 0 0
5 0 0 0
4 0 0 0
10 0 0 3
2 0 0 1
13 0 0 2
6 0 0 0
5 0 0 0
7 0 0 0
10 0 0 0
3 0 0 0
3 0 0 1
7 0 0 0
11 0 0 1
3 0 0 0
42 0 0 3
7 0 0 1
3 0 0 0
1 0 0 0
4 0 0 1
5 0 0 0
7 0 0 0
3 0 0 1
6 0 0 0
4 0 0 0
2 0 0 0
6 0 0 0
1 0 0 0
5 0 0 0
3 0 0 0
2 0 0 0
14 0 0 0
16 0 0 2
6 0 0 0
4 0 0 1
7 0 0 1
2 0 0 1
3 0 0 0
3 0 0 0
4 0 0 0
1 0 0 0
4 0 0 0
8 0 0 1
9 0 0 0
5 0 0 1
0 0 0 0
5 0 0 0
5 0 0 0
3 0 0 0
3 0 0 0
10 0 0 0
3 0 0 0
5 0 0 0
2 0 0 0
6 0 0 0
6 0 0 0
6 0 0 1
7 0 0 0
6 0 0 0
4 0 0 1
5 0 0 1
